,п\п,Код,"Наименование профессий рабочих, должностей служащих",Квалификация
2739,47,13430,Лущильщик шпона,3 - 6
2740,48,16923,Починщик шпона и фанеры,2 - 4
2741,49,17442,Пропитчик шпона,2 - 3
2742,50,17750,Раскройщик пленки,2 - 3
2743,51,18116,Сборщик,2 - 4
2744,52,18282,Сборщик фанерных труб,2 - 4
2745,53,18298,Сборщик чемоданов из фанеры,2 - 4
2746,54,18429,Склейщик фанерных труб,3 - 5
2747,55,18703,Сортировщик шпона и фанеры,2 - 5
2748,56,18788,Станочник кромкофуговального станка,2 - 4
2749,57,18790,Станочник навивочного станка,4 - 5
2750,58,18801,Станочник ребросклеивающего станка,2 - 4
2751,59,18807,Станочник усовочного станка,2 - 4
2752,60,18916,Сушильщик,2 - 4
2753,61,18999,Сушильщик шпона и фанеры,3 - 5
2754,62,10532,Аппаратчик по изготовлению клеевой нити,4
2755,63,10901,Аппаратчик пропитки облицовочных материалов,4 - 6
2756,64,12306,Изготовитель декоративных элементов мебели,3 - 4
2757,65,12493,Изготовитель шаблонов,3 - 6
2758,66,12863,Комплектовщик мебели,2 - 5
2759,67,14809,Наборщик облицовочных материалов для мебели,2 - 6
2760,68,14895,Наклейщик орнамента на багет,2 - 3
2761,69,15212,Облицовщик деталей мебели,2 - 5
2762,70,15252,Обойщик мебели,1 - 5
2763,71,16665,Плетельщик мебели,2 - 4
2764,72,16727,Подготовщик набивочных и настилочных материалов,1 - 3
2765,73,18228,Сборщик плетеной мебели,2 - 4
2766,74,18796,Станочник по изготовлению гнутой мебели,2 - 3
2767,75,10649,Аппаратчик по производству сухой спичечной соломки,1 - 3
2768,76,11004,Аппаратчик сушки спичечных коробок,2
2769,77,12433,Изготовитель специальных спичек,3
2770,78,13442,Макаль,5
2771,79,15012,Намазчик спичечных коробок,2 - 4
2772,80,15481,Оператор автоматической линии изготовления спичек,4
2773,81,15641,Оператор коробконабивочного станка,3 - 4
2774,82,15838,Оператор полуавтоматической линии изготовления спичечных коробок,3 - 4
2775,83,16039,Оператор спичечных автоматов,3 - 4
2776,84,16043,Оператор станка для укладки рассыпных спичек,2
2777,85,16213,Оператор этикетировочного станка,4
2778,86,17221,Приготовитель спичечных масс,3 - 4
2779,87,10028,Автоматчик клеильных полуавтоматов,3 - 5
2780,88,12247,"Заточник карандашей, стержней и палочек",2 - 3
2781,89,12642,Калибровщик карандашных дощечек,2 - 4
2782,90,12857,Комплектовщик карандашей и стержней,2 - 4
2783,91,13178,Красильщик карандашей,3 - 4
2784,92,13987,Машинист печатной машины,"4, 6"
2785,93,15163,Обжигальщик графитовых стержней,5
2786,94,15479,Оператор автоматической линии изготовления белого карандаша,6
2787,95,15497,Оператор автоматов сборки карандашей,3
2788,96,15519,Оператор вальцовочной линии,6
2789,97,15576,Оператор дисперсионных смесителей по приготовлению стержневой массы,6
2790,98,16322,Отделочник карандашей на автомате,3 - 5
2791,99,17022,Прессовщик карандашных блоков,5
2792,100,17112,Прессовщик стержней,6
2793,101,17432,Пропитчик карандашных дощечек,2
2794,102,17440,Пропитчик стержней,4
2795,103,17662,Размольщик карандашной массы,6
2796,104,17716,Раскатчик стержней,3 - 4
2797,105,17932,Резчик нитей стержней,3
2798,106,18605,Смесительщик,"3, 5"
2799,107,18636,Сортировщик в производстве карандашей,2 - 4
2800,108,18937,Сушильщик дощечек,3 - 5
2801,109,18983,Сушильщик стержней,3
2802,110,19615,Шихтовщик,5
2803,111,19671,Шлифовщик стержней,4
2804,112,19721,Штемпелевщик карандашей,3
2805,1,10027,Автоматчик картонажного производства,1 - 4
2806,2,10525,Аппаратчик по выщелачиванию фибры,"2, 4"
2807,3,10637,Аппаратчик по приготовлению глинозема,3 - 4
2808,4,10953,Аппаратчик скипидарной установки,2 - 3
2809,5,11007,Аппаратчик талловой установки,2 - 5
2810,6,11127,Армировщик,3
2811,7,11355,Вальцовщик фибровых трубок,3
2812,8,11372,Варщик волокнистого сырья,2
2813,9,11373,"Варщик восковой, клеевой массы и пропиточной смеси","1, 3"
2814,10,11398,Варщик тряпья,2
2815,11,11400,Варщик химической древесной массы,"2, 4"
2816,12,11402,Варщик хлопка,2 - 5
2817,13,11404,Варщик целлюлозы,3 - 6
2818,14,11564,Выпарщик щелоков,2 - 6
2819,15,11655,Гибщик фибры,3
2820,16,11737,Гравер валов,3 - 6
2821,17,11835,Дефибрерщик,2 - 6
2822,18,11843,Диффузорщик целлюлозы,2 - 5
2823,19,11902,Древопар,2 - 3
2824,20,11914,Дробильщик колчедана,2
2825,21,11924,Дробильщик целлюлозы,2 - 4
2826,22,12013,Заготовщик бумажных пакетов,1 - 2
2827,23,12030,Заготовщик клапанов,1
2828,24,12082,Загрузчик балансов и дефибреры,3
2829,25,12116,"Загрузчик колчеданных, серных печей и турм",2
2830,26,12125,Загрузчик сульфата,2 - 3
2831,27,12147,Закатчик бумажных изделий,2
2832,28,12158,"Закройщик картона, фибры и других материалов",2 - 4
2833,29,12160,Закройщик-резак,2
2834,30,12214,Заправщик рулонов картона и бумаги,2 - 3
2835,31,12472,Изготовитель форм,4 - 6
2836,32,12574,Испытатель бумажных мешков,2
2837,33,12636,Каландровщик целлюлозно-бумажного производства,2 - 5
2838,34,12716,Картонажник,1 - 4
2839,35,12755,Кислотчик,2 - 6
2840,36,12777,Клеевар,2 - 5
2841,37,12778,Клеильщик,1 - 2
2842,38,12784,"Клейщик бумаги, картона и изделий из них",1 - 2
2843,39,12797,Клейщик фибры и литых бумажных изделий,3 - 4
2844,40,12829,Колорист,3
2845,41,12847,Комплектовщик деталей и изделий из бумаги,2
2846,42,13085,Контролер целлюлозно-бумажного производства,2 - 5
2847,43,13188,Краскосоставитель,2 - 5
2848,44,13346,Лакировщик фибровых изделий,2
2849,45,13542,Машинист агрегата искусственного бархата,"2, 4"
2850,46,13567,Машинист битумировочной машины,"2, 4"
2851,47,13573,Машинист блондочной машины,2
2852,48,13585,Машинист бумагоделательной (картоноделательной) машины (сеточник),4 - 6
2853,49,13587,Машинист бумагокрасильной машины (красильщик),2 - 6
2854,50,13606,Машинист вакуум-формующей машины,4 - 5
2855,51,13644,Машинист высекально-штамповочной машины,1 - 4
2856,52,13675,Машинист гофрировального агрегата,2 - 6
2857,53,13687,Машинист гуммировального агрегата,"2, 4"
2858,54,13700,Машинист дноклеильной машины,2 - 4
2859,55,13751,Машинист катальной машины,3
2860,56,13759,Машинист клеильно-загибочной машины,3
2861,57,13761,Машинист клеильно-сушильной машины (клейщик),5
2862,58,13804,Машинист креповой машины,2 - 3
2863,59,13849,Машинист машины длинноволокнистых бумаг,3 - 5
2864,60,13858,Машинист машины для покрытия бумаги полиэтиленовой пленкой,"3, 5"
2865,61,13866,Машинист машины по изготовлению бумаги для табачных фильтров,4 - 5
2866,62,13868,Машинист машины по изготовлению гильз,2 - 3
2867,63,13870,Машинист машины по производству изделий из бумаги,1 - 5
2868,64,13906,Машинист наслаивающей машины,3
2869,65,13919,Машинист обойно-печатной машины,1 - 6
2870,66,13950,Машинист отжимной машины,4
2871,67,13963,Машинист папочной машины,2 - 4
2872,68,13975,Машинист пергаментной машины,3 - 5
2873,69,13986,Машинист печатно-высекательного агрегата,3 - 5
2874,70,14055,Машинист пресспата (сеточник),3 - 6
2875,71,14137,Машинист рекордерной машины,3
2876,72,14139,Машинист релевочной машины,3
2877,73,14151,Машинист ровничной машины,4
2878,74,14155,Машинист рубительной машины,1 - 5
2879,75,14177,Машинист силиконовой машины,3 - 4
2880,76,14229,Машинист сшивальной машины,2 - 3
2881,77,14243,Машинист термодисперсионной установки,5 - 6
2882,78,14279,Машинист трубочной машины (трубочник),2 - 5
2883,79,14375,Машинист шпулезаверточных и конусных машин,3
2884,80,14416,Машинист энсонитной машины,"2, 4"
2885,81,14465,Миксовщик,2 - 6
2886,82,14476,Модельер коробок,5
2887,83,14530,Мойщик фибры,2
2888,84,14784,Набойщик рисунков на обои,"1, 3"
2889,85,14788,Наборщик бумажных валов,3
2890,86,14818,Наборщик рисунчатых валов,4 - 6
2891,87,14868,Накатчик бумагоделательной (картоноделательной) машины,2 - 4
2892,88,14872,Накатчик клеильно-сушильной машины,2
2893,89,14874,Накатчик машины для покрытия бумаги полиэтиленовой пленкой,2
2894,90,14877,Накатчик пергаментной машины,2
2895,91,14881,Накатчик пресспата,2
2896,92,14934,Наладчик оборудования в бумажном производстве,"2, 4 - 5"
2897,93,15017,Намотчик бумажных цилиндров,2 - 3
2898,94,15040,Намотчик ровничной машины,1 - 2
2899,95,15049,Намотчик серпантина,2
2900,96,15080,Насадчик дефибрерных камней,"2, 4"
2901,97,15238,Обмуровщик кислотных резервуаров,2 - 5
2902,98,15448,Окрасчик картона и фибры,2 - 3
2903,99,15782,Оператор очистного оборудования,1 - 5
2904,100,15806,Оператор пневмогидроподачи,2
2905,101,15928,Оператор производства древесной массы из щепы,3 - 6
2906,101.1,,Опиловщик фибры,2
2907,103,16278,Отбельщик,2 - 6
2908,104,16326,Отделочник литых бумажных изделий,2
2909,105,16381,Отливщик литых бумажных изделий,"2, 4"
2910,106,16480,Переводчик обойных рисунков,4
2911,107,16503,Перемотчик бумаги и бумажной пряжи,1 - 2
2912,108,16530,Перфораторщик,2
2913,109,16556,Печатник миллиметровки,4
2914,110,16806,Полировщик изделий из бумаги,1 - 2
2915,111,16979,Прессовщик бумагоделательной (картоноделательной) машины,1 - 4
2916,112,17024,Прессовщик картонажных изделий,1 - 3
2917,113,17026,Прессовщик картона и фибры,2 - 3
2918,114,17030,Прессовщик клеильно-сушильной машины,2
2919,115,17039,Прессовщик коры,2
2920,116,17044,Прессовщик литых бумажных изделий,2
2921,117,17069,Прессовщик отжимной машины,2
2922,118,17072,Прессовщик отходов,2
2923,119,17075,Прессовщик пергаментной машины,2
2924,120,17087,Прессовщик пресспата,2 - 3
2925,121,17093,Прессовщик ровничной машины,1
2926,122,17242,Приготовитель эмульсии,3 - 4
2927,123,17389,Промывальщик волокнистых материалов,"2, 4"
2928,124,17411,Промывщик целлюлозы,1 - 3
2929,125,17426,Пропитчик бумаги и бумажных изделий,2 - 4
2930,126,17540,Рабочий на подаче химикатов,2
2931,127,17606,Разгрузчик диффузоров,3
2932,128,17656,Размольщик,1 - 5
2933,129,17669,Размотчик лент,3
2934,130,17689,Разрисовщик обоев,4
2935,131,17714,Раскатчик-сортировщик бумаги,"1, 3"
2936,132,17841,Регенераторщик сернистой кислоты,2 - 3
2937,133,17850,Регулировщик композиции и концентрации массы,2 - 3
2938,134,17883,"Резчик бумаги, картона и целлюлозы",1 - 5
2939,135,17926,Резчик на отжимной машине,2
2940,136,18081,Рифлевщик,2
2941,137,18130,Сборщик бумажных изделий,1 - 4
2942,138,18379,Сгустительщик,2 - 3
2943,139,18623,Содовщик,2 - 6
2944,140,18634,Сортировщик бумажного производства,1 - 5
2945,141,18723,Составитель пасты,2 - 3
2946,142,18922,"Сушильщик бумаги, картона, фибры и изделий из них",2 - 3
2947,143,18924,Сушильщик бумагоделательной (картоноделательной) машины,2 - 6
2948,144,18926,Сушильщик вакуум-формующей машины,3 - 4
2949,145,18949,Сушильщик клеильно-сушильной машины,3
2950,147,18966,Сушильщик пергаментной машины,2 - 3
2951,148,18975,Сушильщик пресспата,2 - 5
2952,149,18979,Сушильщик ровничной машины,2
2953,150,19062,"Съемщик целлюлозы, бумаги, картона и изделий из них",2
2954,151,19267,Увлажнительщик бумаги и картона,"1 - 2, 4"
2955,152,19345,Фибровщик,2 - 5
2956,153,19350,Филигранщик бумаги,"1, 3"
2957,154,19511,Хлорщик,2 - 5
2958,155,19635,"Шлифовщик бумаги, картона и фибры",2
2959,1,10014,Автоклавщик,4
2960,2,10375,Аппаратчик на пропиточных агрегатах,3 - 5
2961,3,10398,Аппаратчик окисления и обезвоживания битума,3 - 4
2962,4,11122,Арматурщик,1 - 6
2963,5,11136,Аспираторщик,2 - 4
2964,6,11178,Бассейнщик,2 - 3
2965,7,11184,Бегунщик,3
2966,8,11200,Битумщик,3 - 4
2967,9,11309,Вагранщик,4 - 6
2968,10,11320,Вальцовщик гидроизоляционных материалов,3
2969,11,11368,Варщик асфальтовой массы,4 - 6
2970,12,11370,Варщик битума,3 - 4
2971,13,11375,Варщик гипса,3 - 4
2972,14,11480,Волнировщик асбестоцементных листов,4
2973,15,11538,Выгрузчик извести из печей,3 - 5
2974,16,11546,Выгрузчик шахтных печей,4
2975,17,11578,Выставщик,4 - 5
2976,18,11640,Гасильщик извести,3 - 4
2977,19,11666,Гидротермист,3
2978,20,11691,Голлендорщик,4 - 5
2979,21,11772,Грунтовщик асбестоцементных и асбестосилитовых изделий,3 - 4
2980,22,11860,Дозировщик асбеста,2 - 3
2981,23,11869,Дозировщик материалов,2 - 4
2982,24,11880,Дозировщик-смесительщик на шнеках,2 - 3
2983,25,11881,Дозировщик сырья,2 - 3
2984,26,11909,Дробильщик,2 - 5
2985,27,11912,Дробильщик извести,3 - 4
2986,28,11920,Дробильщик слюды,2 - 3
2987,29,11922,Дробильщик теплоизоляционного сырья,2 - 4
2988,30,12041,Заготовщик микалексовой массы,3
2989,31,12127,Загрузчик-выгрузчик сушил и печей,3
2990,32,12104,"Загрузчик-выгрузчик сырья, топлива и стеновых изделий",2 - 3
2991,33,12117,Загрузчик мелющих тел,3
2992,34,12168,Заливщик камнелитейных изделий,3 - 4
2993,35,12257,Зачистчик электроизоляционных изделий,2
2994,36,12292,Изготовитель блоков и панелей из кирпича,2 - 3
2995,37,12658,Калибровщик-раскройщик,3 - 4
2996,38,12661,Калибровщик слюды,3 - 4
2997,39,12686,Камневар,3 - 5
2998,40,12690,Камнетес,2 - 6
2999,41,12709,Карбонизаторщик,4 - 5
3000,42,12773,Классификаторщик слюды,3
3001,43,12834,Кольщик слюды,2 - 3
3002,44,12869,Комплектовщик панелей,4
3003,45,12953,Контролер изделий из камня,3 - 4
3004,46,13066,Контролер строительных изделий и материалов,3 - 5
3005,47,13158,Кочегар сушильных барабанов,3 - 4
3006,47.1,,Лаборант производства строительных материалов,3 - 4
3007,48,13353,Лаковар,2 - 3
3008,49,13747,Машинист кальцинаторов,4 - 5
3009,49.1,,Машинист камнекольной машины,4 - 5
3010,50,13815,Машинист лаконаносящей машины,4 - 5
3011,51,13826,Машинист листоформовочной машины,5 - 6
3012,52,13899,Машинист навивочных и намоточных машин,4 - 5
3013,53,13914,Машинист (обжигальщик) вращающихся и шахтных печей,4 - 6
3014,54,13921,Машинист оборудования конвейерных и поточных линий,3 - 5
3015,55,13988,Машинист печатной машины,5 - 6
3016,56,13993,Машинист пневматических и винтовых насосов,2 - 3
3017,57,14057,Машинист прикатной машины,4 - 5
3018,58,14171,Машинист самоходной газорастворомешалки (виброгазобетономешалки),4 - 5
3019,59,14192,Машинист слюдопластоделательной машины,4 - 5
3020,60,14225,Машинист сушильных агрегатов,2
3021,61,14232,Машинист сырьевых мельниц,3 - 5
3022,62,14271,Машинист трубной машины,4 - 6
3023,63,14286,Машинист угольных и цементных мельниц,3 - 5
3024,64,14297,Машинист установки по испытанию железобетонных изделий и конструкций,4
3025,65,14301,Машинист установки по приготовлению пульпы,3
3026,66,14307,Машинист установки по расщеплению слюды,4
3027,67,14326,Машинист формовочного агрегата,5 - 6
3028,67.1,,Машинист экструзионного пресса,5 - 6
3029,68,14435,Мельник извести,3 - 5
3030,69,14437,Мельник минерального сырья,3 - 4
3031,70,14506,Мозаичник,3 - 4
3032,71,14712,Моторист бетоносмесительных установок,2 - 5
3033,72,14723,Моторист передаточной тележки,3
3034,73,14741,Моторист смесителя и мешалки,2 - 3
3035,74,14745,Моторист транспортирующих механизмов,2 - 3
3036,75,14747,Моторист триера,3
3037,76,14750,Моторист установки по перекачиванию битума,3
3038,77,14752,Моторист холодильных установок,3 - 4
3039,78,14948,Наладчик оборудования в производстве строительных материалов,4 - 6
3040,79,14950,Наладчик оборудования в производстве теплоизоляционных материалов,4 - 5
3041,80,15043,Намотчик рулонов,3
3042,81,15113,Насыпщик цемента,3 - 4
3043,82,15161,Обжигальщик в производстве теплоизоляционных материалов,4 - 5
3044,83,15167,Обжигальщик извести,3 - 6
3045,84,15193,Обжигальщик стеновых и вяжущих материалов,3 - 6
3046,85,15410,Обшивщик цилиндров,4
3047,86,15472,Оператор автоматизированной линии теплоизоляции труб,3 - 6
3048,87,15527,Оператор волнировочно-стопирующего агрегата,4 - 5
3049,88,15564,Оператор гранулятора,4
3050,88.1,,Оператор конвейера обкатки труб,3 - 4
3051,89,15632,Оператор конвейерной линии оборудования,4 - 5
3052,90,15663,Оператор линии окраски изделий,3 - 4
3053,90.1,,Оператор приготовительного отделения,4 - 5
3054,91,15956,Оператор пульта управления оборудованием в производстве строительных изделий,3 - 6
3055,92,15976,Оператор размоточно-склеивающего станка,2 - 3
3056,93,16097,Оператор турбосмесителя,2 - 3
3057,94,16101,Оператор узла посыпки и охлаждения,2 - 3
3058,95,16105,Оператор укладчика-разборщика асбестоцементных изделий,4
3059,96,16109,Оператор ускорительной установки,5 - 6
3060,97,16115,Оператор установок волокнообразования,5 - 6
3061,98,16121,Оператор установок по производству минераловатных изделий,3 - 4
3062,99,16125,Оператор установок по тепловой обработке бетона,3
3063,99.1,,Оператор центрального пульта управления,6
3064,100,16312,Отделочник железобетонных изделий,3 - 4
3065,101,16499,Перекристаллизаторщик,4 - 5
3066,102,16974,Прессовщик асбестоцементных изделий,3 - 5
3067,103,17050,Прессовщик миканита и микалекса,3 - 4
3068,104,17110,Прессовщик строительных изделий,3 - 5
3069,105,17207,Приготовитель растворов и масс,3 - 4
3070,106,17375,Прокатчик слюды,2 - 3
3071,106.1,,Пропарщик изделий,3 - 4
3072,107,17438,Пропитчик слюдопластовых материалов,4 - 5
3073,108,17448,Просевальщик материалов,1 - 2
3074,109,17581,Разборщик асбестоцементных изделий,4
3075,110,17789,Распределитель силикатной массы,3
3076,111,17769,Распиловщик камня,4 - 5
3077,112,17878,Резчик асбестоцементных и асбестосилитовых изделий,3
3078,113,17952,Резчик слюды,3
3079,114,17964,Резчик строительных изделий и материалов,3 - 4
3080,115,17990,Рекуператорщик,3 - 4
3081,116,18105,Садчик,4 - 5
3082,117,18109,Садчик камня в обжигательные печи,3 - 4
3083,118,18174,Сборщик изделий и конструкций,2 - 4
3084,119,18329,Сварщик арматурных сеток и каркасов,3 - 5
3085,120,18606,Смесительщик,3 - 4
3086,121,18607,Смесительщик муки на силосах,2
3087,122,18649,Сортировщик,3
3088,123,18698,Сортировщик (упаковщик) теплоизоляционных изделий,2 - 4
3089,124,18686,Сортировщик сырья и изделий из слюды,2 - 3
3090,125,18920,Сушильщик асбестоцементных изделий,2
3091,126,18944,Сушильщик заполнителей,2 - 3
3092,127,18947,Сушильщик изделий,"1, 3 - 4"
3093,128,18973,Сушильщик посыпочных материалов,2
3094,129,18992,Сушильщик теплоизоляционных изделий,2 - 3
3095,130,19050,Съемщик теплоизоляционных изделий,3 - 4
3096,131,19052,Съемщик-укладчик,2 - 4
3097,132,19108,Термист по обработке слюды,3
3098,133,19161,Токарь по обработке асбестоцементных труб и муфт,3 - 4
3099,134,19170,Тоннельщик,2 - 4
3100,135,19215,Транспортерщик горячего клинкера,3 - 4
3101,136,19340,Фенольщик,3 - 4
3102,137,19399,"Формовщик изделий, конструкций и строительных материалов",2 - 5
3103,138,19406,Формовщик камнелитейного производства,2 - 3
3104,139,19439,Формовщик теплоизоляционных изделий,3 - 5
3105,140,19481,Фрезеровщик асбестоцементных плит,2 - 3
3106,141,19483,Фрезеровщик камня,3 - 5
3107,142,19571,Чистильщик по очистке шламовых бассейнов и болтушек,3
3108,143,19580,Чистильщик по очистке пылевых камер,3
3109,144,19612,Шихтовар,3 - 5
3110,145,19616,Шихтовщик,3 - 4
3111,146,19625,Шламовщик,3 - 4
3112,147,19633,Шлифовщик асбестоцементных и асбестосилитовых плит,3 - 4
3113,148,19652,Шлифовщик микалекса,3
3114,149,19660,Шлифовщик-полировщик изделий из камня,3 - 5
3115,150,19706,Штамповщик изделий из слюды,2 - 3
3116,1,10015,Автоклавщик,3 - 5
3117,2,11151,Аэрозольщик,3 - 4
3118,3,11204,Блокировщик стеклоизделий,2 - 4
3119,4,11315,Вакуумщик стеклоизделий,3 - 4
3120,4.1,,Варщик стекла,2 - 3
3121,5,11438,Винипластчик,3
3122,6,11548,Выдувальщик стеклоизделий,3 - 8
3123,7,11674,Гильоширщик,2
3124,8,11842,Дистилляторщик ртути,2 - 4
3125,9,11918,Дробильщик-размольщик,3 - 5
3126,10,12048,Заготовщик пленки,2
3127,11,12119,Загрузчик печей,2 - 3
3128,12,12145,Закальщик стекла,3 - 5
3129,13,12240,Засыпщик шихты,3 - 4
3130,14,12312,Изготовитель жгутов,2 - 3
3131,15,12443,Изготовитель стеклянной пленки,3 - 5
3132,16,12561,Иризаторщик,2
3133,17,12662,Калибровщик стеклоизделий,2 - 3
3134,18,12682,Каменщик (печник) дежурный у печей,4 - 5
3135,19,12734,Кварцеплавильщик,4 - 6
3136,20,12767,Классификаторщик крокуса и наждака,2 - 3
3137,21,12769,Классификаторщик песка и пемзы,2 - 4
3138,22,12878,Комплектовщик стекла и стеклоизделий,2 - 4
3139,23,13065,Контролер стекольного производства,3 - 5
3140,24,13160,Кочегар сушильных печей и барабанов,2 - 3
3141,24.1,,Красильщик стеклоизделий,2 - 3
3142,25,13348,Лакировщик форм,2
3143,26,13836,Машинист машин вытягивания стекла,"3, 5 - 7"
3144,27,14061,Машинист прокатной машины,"3, 5 - 6"
3145,28,14539,Моллировщик стекла,2 - 6
3146,29,14721,Моторист на подаче крокусной суспензии,3
3147,30,14786,Наборщик блока из остеклованных стержней,3
3148,31,14820,Наборщик стекломассы,3 - 6
3149,32,14991,Наладчик стекольных автоматов и полуавтоматов,4 - 7
3150,33,15013,Намазчик целлулоида,1
3151,34,15072,Наполнитель приборов газами и жидкостями,2 - 5
3152,35,15096,Настильщик стекла,2 - 3
3153,36,15159,Обжигальщик в производстве стекла,2 - 5
3154,37,15226,Обмазчик заслонов,2
3155,38,15351,Обработчик стеклопакетов и стеклоблоков,1 - 2
3156,39,15487,Оператор автоматической линии по производству пеностекла,4 - 5
3157,40,15515,Оператор вакуумприсосных механизмов и приспособлений,3 - 4
3158,41,15537,Оператор выдувного полуавтомата,2 - 4
3159,41.1,,Оператор гранулирования шихты,5
3160,42,15734,Оператор на вварочных машинах,5 - 6
3161,43,15754,Оператор на филаментмашине,4 - 5
3162,44,16049,Оператор стеклоформующих машин,2 - 7
3163,45,16117,Оператор установки вымерения объема,2 - 4
3164,46,16127,Оператор установки ТВЧ,4
3165,47,16145,Оператор фацетного станка,3 - 4
3166,48,16147,Оператор формования ленты стекла,4 - 6
3167,49,16348,Отдельщик выдувных изделий,3 - 8
3168,50,16358,Отжигальщик стеклоизделий,2 - 4
3169,51,16375,Откладчик изделий в опечки,2
3170,52,16387,Отломщик стекла от машин,2 - 3
3171,53,16389,Отметчик ареометров,1 - 3
3172,54,16391,Отметчик термометров,2 - 5
3173,55,16393,Отопщик на карусельной машине,2
3174,56,16397,Отрезчик ленты стекла,1
3175,57,16466,Паяльщик сеток и шинок на стекле,3 - 4
3176,58,16482,Переводчик печати и рисунка,1 - 2
3177,59,16542,Пескоструйщик по стеклу,2 - 3
3178,60,16680,Повертальщик,2 - 3
3179,61,16700,Подборщик стекла,1
3180,62,16818,Полировщик стекла и стеклоизделий,3 - 6
3181,63,16819,Полировщик стеклоизделий кислотой,3 - 4
3182,64,16991,Прессовщик горячего стекла,3 - 6
3183,65,17012,Прессовщик изделий из стеклопорошка,3 - 4
3184,66,17106,Прессовщик стеклопакетов,2 - 4
3185,67,17306,Притирщик стеклоизделий,3
3186,68,17463,Просевщик бисера,1
3187,69,17590,Развальцовщик стекла,2 - 3
3188,70,17649,Разметчик стекла и стеклоизделий,2 - 3
3189,71,17691,Разрисовщик по стеклу,2 - 4
3190,72,17828,Реактивщик,4
3191,73,17925,Резчик на огне,2 - 4
3192,74,17934,Резчик пеноблоков,2 - 3
3193,75,17954,Резчик стекла,1 - 5
3194,76,17958,Резчик стеклоизделий,1 - 3
3195,77,18134,Сборщик влагопоглотителей,2
3196,78,18237,Сборщик приборов из стекла,1 - 4
3197,79,18267,Сборщик стеклоизделий,2 - 5
3198,80,18273,Сборщик термосов,1 - 2
3199,81,18275,Сборщик тиглей,4
3200,82,18348,Сварщик стеклянных изделий,3 - 5
3201,83,18366,Сверловщик стеклоизделий,2 - 3
3202,84,18387,Сепараторщик,2
3203,85,18393,Серебрильщик,2 - 4
3204,86,18600,Сливщик стекломассы,3
3205,87,18740,Составщик шихты,3 - 5
3206,88,18852,Стекловар,4 - 7
3207,89,18856,Стеклодув,2 - 7
3208,90,18981,Сушильщик стеклоизделий,2
3209,91,18986,Сушильщик сырья и материалов,1 - 2
3210,92,19043,Съемщик стекла и стеклоизделий,2 - 4
3211,93,19196,Травильщик стекла плавиковой кислотой,1 - 4
3212,94,19249,Тянульщик по выработке стеклянных труб и дрота,"2, 4 - 7"
3213,95,19309,Усреднильщик сырья,2
3214,96,19338,Фацетчик,2 - 5
3215,97,19346,Фидерщик,4
3216,98,19363,Флотаторщик,2 - 3
3217,99,19394,Формовщик деталей из стекла,1 - 3
3218,100,19454,Формодержатель,2
3219,101,19471,Фотопечатник на стекле,3 - 4
3220,101.1,,Фотохимгравировщик,5
3221,102,19668,Шлифовщик стекла,3 - 5
3222,103,19669,Шлифовщик стеклоизделий,2 - 7
3223,104,19725,Штенгелевщик,2 - 3
3224,1,10055,Ангобировщик,2 - 5
3225,2,11147,Аэрографщик,2 - 4
3226,3,11524,"Выборщик фарфоровых, фаянсовых и керамических изделий",1 - 3
3227,4,11693,Гончар,2 - 6
3228,5,11867,Дозировщик керамических материалов,2 - 3
3229,6,11919,Дробильщик-размольщик,2 - 4
3230,7,11965,"Заборщик фарфоровых, фаянсовых и керамических изделий",2 - 4
3231,8,12102,Загрузчик-выгрузчик сушил,2 - 4
3232,9,12199,Запайщик фарфоровых труб,2
3233,10,12332,Изготовитель капов,3 - 6
3234,11,12474,Изготовитель формодержателей,4
3235,12,12638,Калибровщик гипсовых форм,4
3236,13,12696,Кантователь керамических труб,3 - 4
3237,14,12843,Комплектовщик гипсовых форм,3 - 4
3238,15,13036,"Контролер-приемщик фарфоровых, фаянсовых и керамических изделий",2 - 5
3239,16,13386,Литейщик гипсовых форм,2 - 5
3240,17,14489,Модельщик керамического производства,3 - 6
3241,18,14960,Наладчик оборудования керамического производства,4 - 5
3242,19,15177,Обжигальщик материалов,3 - 4
3243,20,16239,Оправщик-чистильщик,1 - 5
3244,21,16431,Парафинировщик керамических и фарфоровых изделий,2
3245,22,17129,Прессовщик фарфоровых труб,3 - 4
3246,23,17158,Приготовитель ангоба и глазури,3 - 4
3247,24,17184,Приготовитель масс,1 - 3
3248,25,17377,Прокатчик фарфоровых труб,3
3249,26,17387,Промазчик форм,1 - 2
3250,27,17450,Просевальщик порошков,2
3251,28,17576,Разбивщик сырья,3
3252,29,17897,Резчик керамических и фарфоровых изделий,2 - 4
3253,30,18420,"Склейщик керамических, фарфоровых и фаянсовых изделий",2 - 3
3254,31,18690,"Сортировщик сырья, фарфоровых, фаянсовых и керамических изделий",2 - 5
3255,32,18764,Ставильщик-выборщик изделий из печей,3 - 5
3256,33,18766,"Ставильщик-выборщик фарфоровых, фаянсовых и керамических изделий на вагонетках",2 - 5
3257,34,18994,"Сушильщик фарфоровых, фаянсовых, керамических изделий и сырья",2 - 5
3258,35,19060,"Съемщик-укладчик фарфоровых, фаянсовых и керамических изделий",2 - 4
3259,36,19358,Фильтрпрессовщик,3 - 4
3260,37,19407,Формовщик капселей,2 - 4
3261,38,19492,Фриттовщик,4 - 5
3262,39,19618,Шихтовщик,3
