,п\п,Код,"Наименование профессий рабочих, должностей служащих",Квалификация
201,175.11,,Водитель автомобиля,4 - 8
202,175.12,,Водитель аэросаней,3
203,175.13,,Водитель мототранспортных средств,3
204,175.14,,Водитель трамвая,3 - 5
205,175.15,,Водитель троллейбуса,4 - 6
206,175.16,,Герпетолог,
207,175.17,,Гидрометнаблюдатель,
208,175.18,,Егерь,
209,175.19,,Инструктор производственного обучения рабочих массовых профессий,
210,175.20,,Инструктор спортивного рыболовства,
211,175.21,,Контролер технического состояния автомототранспортных средств,5
212,175.22,,Круговоротчик,
213,175.23,,Обувщик по ремонту спецобуви,
214,175.24,,Оператор пульта управления стендовой стрельбой,
215,175.25,,Приемщик трамваев и троллейбусов,
216,175.26,,Проводник пассажирских вагонов в парках отстоя вагонов,
217,175.27,,Проводник служебно-технического вагона,
218,175.28,,Проводник спецвагонов учреждений госбанка,
219,175.29,,Ремонтировщик высотных частей зданий,
220,175.30,,Ремонтировщик спортивного оружия,
221,175.31,,Ремонтировщик спортивных судов,
222,175.32,,Раздатчик нефтепродуктов,2
223,1,10016,Автоклавщик литья под давлением,3
224,2,11308,Вагранщик,2 - 6
225,3,11504,Выбивальщик отливок,2 - 3
226,4,11664,Гидропескоструйщик,2 - 3
227,5,11670,Гидрочистильщик,2 - 4
228,6,11971,Завальщик шихты в вагранки и печи,2 - 4
229,7,11978,Заварщик отливок,2 - 4
230,8,12176,Заливщик металла,2 - 4
231,9,12180,Заливщик свинцово-оловянистых сплавов,2 - 4
232,10,12264,Земледел,1 - 3
233,11,12334,Изготовитель каркасов,2 - 3
234,12,12817,Кокильщик-сборщик,1 - 5
235,13,12867,Комплектовщик моделей,2 - 4
236,14,12936,Контролер в литейном производстве,2 - 5
237,15,13384,"Литейщик вакуумного, центробежно-вакуумного и центробежного литья",2 - 5
238,16,13392,Литейщик металлов и сплавов,3 - 5
239,17,13394,Литейщик методом направленной кристаллизации,3 - 5
240,18,13395,Литейщик на машинах для литья под давлением,2 - 5
241,19,14129,Машинист регенерационной установки,4
242,20,14485,Модельщик выплавляемых моделей,1 - 4
243,21,14487,Модельщик гипсовых моделей,2 - 5
244,22,14493,Модельщик по деревянным моделям,1 - 6
245,23,14495,Модельщик по металлическим моделям,1 - 6
246,24,14497,Модельщик по моделям из эпоксидных смол,1 - 5
247,25,14862,Наждачник,1 - 3
248,26,14923,Наладчик литейных машин,3 - 5
249,27,15000,Наладчик формовочных и стержневых машин,3 - 5
250,28,15228,Обмазчик ковшей,2
251,29,15379,Обрубщик,2 - 5
252,30,15687,Оператор-литейщик на автоматах и автоматических линиях,4
253,31,15768,Оператор обрубного отделения,5
254,32,15960,Оператор пульта управления трансбордерным и горизонтальнозамкнутым конвейерами,4
255,33,16197,Оператор электрогидравлической очистки отливок,2 - 4
256,34,16209,Оператор электрохимической очистки заготовок,2 - 4
257,35,16219,Опиловщик фасонных отливок,2 - 5
258,36,16259,Опылитель форм и металла серным порошком,2
259,37,16626,Плавильщик металла и сплавов,2 - 6
260,38,16628,Плавильщик металла на вакуумных печах,3 - 5
261,39,18286,Сборщик форм,1 - 6
262,40,18671,Сортировщик отливок,1 - 2
263,41,18736,Составитель фтористых присадок,3
264,42,18865,Стерженщик машинной формовки,1 - 5
265,43,18867,Стерженщик ручной формовки,2 - 5
266,44,18984,"Сушильщик стержней, форм, формовочных материалов",1 - 3
267,45,19219,Транспортировщик в литейном производстве,1 - 3
268,46,19252,Уборщик в литейных цехах,1 - 3
269,47,19411,Формовщик машинной формовки,2 - 5
270,48,19421,Формовщик по выплавляемым моделям,1 - 4
271,49,19430,Формовщик ручной формовки,2 - 6
272,50,19568,"Чистильщик металла, отливок, изделий и деталей",2 - 3
273,51,19613,Шихтовщик,1 - 4
274,52,11618,Газорезчик,1 - 5
275,53,11620,Газосварщик,2 - 6
276,54,13057,Контролер сварочных работ,2 - 7
277,55,14985,Наладчик сварочного и газоплазморезательного оборудования,3 - 7
278,56,15926,Оператор проекционной аппаратуры и газорезательных машин,24
279,57,18334,Сварщик на диффузионно-сварочных установках,3 - 6
280,58,18336,Оператор лазерных установок,3 - 6
281,59,18338,Сварщик на машинах контактной (прессовой) сварки,2 - 5
282,60,18342,Сварщик на электронно-лучевых сварочных установках,3 - 6
283,61,18350,Сварщик термитной сварки,2 - 5
284,62,19752,Электровибронаплавщик,2 - 4
285,63,19756,Электрогазосварщик,2 - 6
286,64,19905,Электросварщик на автоматических и полуавтоматических машинах,2 - 6
287,65,19906,Электросварщик ручной сварки,2 - 6
